objectid,uuid,iiifthumburl,iiifurl,title,attribution,attributioninverted,displaydate,beginyear,endyear,visualbrowsertimespan,medium,classification,subclassification,visualbrowserclassification,accessionnum,width,height,maxpixels,artist_name,nationality,vis_nationality,artist_born,artist_died,art_style,art_theme,local_path
1149,ad77030c-3690-4f50-a062-e762e23c393b,"https://api.nga.gov/iiif/ad77030c-3690-4f50-a062-e762e23c393b/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/ad77030c-3690-4f50-a062-e762e23c393b,The Forest of Coubron,Jean-Baptiste-Camille Corot,"Corot, Jean-Baptiste-Camille",1872,1872.0,1872.0,1851 to 1875,oil on canvas,Painting,,painting,1942.9.12,4236,5245,,"Corot, Jean-Baptiste-Camille",French,French,1796.0,1875.0,Romantic,landscape,/kaggle/working/nga_images/1149.jpg
1154,8d5e54e2-78be-4d80-b526-700e9746916e,"https://api.nga.gov/iiif/8d5e54e2-78be-4d80-b526-700e9746916e/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/8d5e54e2-78be-4d80-b526-700e9746916e,The Saint Anne Altarpiece: Saint Nicholas [left panel],Gerard David and Workshop,"David, Gerard, and Workshop",c. 1500/1520,1500.0,1520.0,1401 to 1500,oil on panel,Painting,,painting,1942.9.17.a,4070,13165,,"David, Gerard",Netherlandish,Netherlandish,1460.0,1523.0,Renaissance,religious,/kaggle/working/nga_images/1154.jpg
1156,5ef4c2b2-4df1-43d0-aaac-21ee5bef1fcd,"https://api.nga.gov/iiif/5ef4c2b2-4df1-43d0-aaac-21ee5bef1fcd/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/5ef4c2b2-4df1-43d0-aaac-21ee5bef1fcd,The Saint Anne Altarpiece: Saint Anthony of Padua [right panel],Gerard David and Workshop,"David, Gerard, and Workshop",c. 1500/1520,1500.0,1520.0,1401 to 1500,oil on panel,Painting,,painting,1942.9.17.c,3955,12341,,"David, Gerard",Netherlandish,Netherlandish,1460.0,1523.0,Renaissance,religious,/kaggle/working/nga_images/1156.jpg
1157,365b5dfe-d315-4c52-9fed-e68b307f9ac0,"https://api.nga.gov/iiif/365b5dfe-d315-4c52-9fed-e68b307f9ac0/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/365b5dfe-d315-4c52-9fed-e68b307f9ac0,The Races,Edgar Degas,"Degas, Edgar",1871-1872,1871.0,1872.0,1851 to 1875,oil on wood,Painting,,painting,1942.9.18,11533,8700,,"Degas, Edgar",French,French,1834.0,1917.0,Impressionist,genre,/kaggle/working/nga_images/1157.jpg
1158,45f18edb-fa34-4907-8d14-3e14098d304c,"https://api.nga.gov/iiif/45f18edb-fa34-4907-8d14-3e14098d304c/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/45f18edb-fa34-4907-8d14-3e14098d304c,Before the Ballet,Edgar Degas,"Degas, Edgar",1890/1892,1890.0,1892.0,1876 to 1900,oil on canvas,Painting,,painting,1942.9.19,18704,8120,,"Degas, Edgar",French,French,1834.0,1917.0,Impressionist,genre,/kaggle/working/nga_images/1158.jpg
1159,51b1fc7c-0beb-4061-bf77-e48854e9f2e3,"https://api.nga.gov/iiif/51b1fc7c-0beb-4061-bf77-e48854e9f2e3/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/51b1fc7c-0beb-4061-bf77-e48854e9f2e3,Mrs. Paul Cobb Methuen,Thomas Gainsborough,"Gainsborough, Thomas",c. 1776/1777,1776.0,1777.0,1776 to 1800,oil on canvas,Painting,,painting,1942.9.20,5208,6216,,"Gainsborough, Thomas",British,British,1727.0,1788.0,,portrait,/kaggle/working/nga_images/1159.jpg
1234,d98a958b-291a-40f3-9dda-b5d371b69dd7,"https://api.nga.gov/iiif/d98a958b-291a-40f3-9dda-b5d371b69dd7/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/d98a958b-291a-40f3-9dda-b5d371b69dd7,"Catherine Howard, Lady d'Aubigny",Sir Anthony van Dyck,"Dyck, Anthony van, Sir",c. 1638,1638.0,1638.0,1601 to 1650,oil on canvas,Painting,,painting,1942.9.95,17048,21568,,"Dyck, Anthony van, Sir",Flemish,Flemish,1599.0,1641.0,Baroque,portrait,/kaggle/working/nga_images/1234.jpg
1162,96a8ace4-a8af-427a-979b-8fcf26cd5402,"https://api.nga.gov/iiif/96a8ace4-a8af-427a-979b-8fcf26cd5402/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/96a8ace4-a8af-427a-979b-8fcf26cd5402,Lucrezia Sommaria,Ridolfo Ghirlandaio,"Ghirlandaio, Ridolfo",c. 1510,1510.0,1510.0,1501 to 1550,oil on panel,Painting,,painting,1942.9.23,4634,6309,,"Ghirlandaio, Ridolfo",Italian,Italian,1483.0,1561.0,Renaissance,portrait,/kaggle/working/nga_images/1162.jpg
1163,07fbd725-cfa8-484b-b4ff-ca45d60dc2b2,"https://api.nga.gov/iiif/07fbd725-cfa8-484b-b4ff-ca45d60dc2b2/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/07fbd725-cfa8-484b-b4ff-ca45d60dc2b2,The Raising of Lazarus,Benozzo Gozzoli,"Gozzoli, Benozzo",mid 1490s,1492.0,1497.0,1401 to 1500,oil (?) on canvas,Painting,,painting,1942.9.24,9410,7530,,"Gozzoli, Benozzo",Italian,Italian,1421.0,1497.0,Renaissance,religious,/kaggle/working/nga_images/1163.jpg
1173,383f16c8-9e6c-4565-bfa4-1017989c6310,"https://api.nga.gov/iiif/383f16c8-9e6c-4565-bfa4-1017989c6310/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/383f16c8-9e6c-4565-bfa4-1017989c6310,Woman and Child in a Courtyard,Pieter de Hooch,"Hooch, Pieter de",1658/1660,1658.0,1660.0,1651 to 1700,oil on canvas,Painting,,painting,1942.9.34,12053,13389,,"Hooch, Pieter de",Dutch,Dutch,1629.0,1684.0,Baroque,genre,/kaggle/working/nga_images/1173.jpg
